n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
11,4,0,4,0,4,0,0,0,
11,9,0,9,0,9,0,0,0,
11,8,0,8,0,8,1,0,0,
11,12,0,12,0,12,0,0,1,
11,24,0,24,0,24,0,0,0,
11,16,0,16,0,16,0,0,0,
11,54,0,54,0,54,0,0,0,
11,2,0,2,0,2,0,0,0,
11,2,0,2,0,2,0,0,0,
11,6,0,6,0,6,0,0,0,
11,18,0,18,0,18,0,0,0,
11,4,0,4,0,4,0,0,0,
11,20,0,20,0,20,0,0,0,
11,30,0,30,0,30,0,0,0,
11,104,0,104,0,104,0,0,1,
11,2,0,2,0,2,0,0,1,
11,20,0,20,0,20,0,0,0,
11,150,0,150,0,150,0,0,1,
11,6,0,6,0,6,0,0,0,
11,24,0,24,0,24,0,0,0,
11,4,0,4,0,4,0,0,0,
11,10,0,10,0,10,0,1,2,
11,9,0,9,0,9,0,0,0,
11,12,0,12,0,12,0,0,0,
11,9,0,9,0,9,0,0,0,
11,6,0,6,0,6,0,0,0,
11,4,0,4,0,4,1,0,0,
11,26,0,26,0,26,0,0,0,
11,3,0,3,0,3,0,0,0,
11,4,0,4,0,4,0,0,0,
11,3,0,3,0,3,0,0,1,
11,6,0,6,0,6,0,0,0,
11,9,0,9,0,9,0,0,0,
11,6,0,6,0,6,0,0,0,
11,42,0,42,0,42,1,1,2,
11,6,0,6,0,6,0,0,0,
11,3,0,3,0,3,0,0,2,
11,4,0,4,1,4,0,1,1,
11,12,0,12,1,12,0,0,0,
11,6,0,6,0,6,0,0,1,
11,12,0,12,0,12,0,0,0,
11,2,0,2,0,2,0,0,1,
11,3,0,3,0,3,0,1,1,
11,12,0,12,0,12,0,0,0,
11,4,0,4,0,4,0,0,0,
11,5,0,5,0,5,0,0,0,
11,4,0,4,0,4,0,0,0,
11,6,0,6,1,6,0,1,1,
11,36,0,36,0,36,0,0,0,
11,18,0,18,0,18,0,0,0,
