n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
11,8,0,8,0,8,0,1,0
11,2,0,2,1,2,0,1,2
11,2,0,2,0,2,0,0,0
11,4,0,4,0,4,0,0,0
11,2,1,2,0,2,1,0,2
11,1,0,1,0,1,0,0,1
11,1,0,1,0,1,0,0,1
11,2,0,2,0,2,0,0,0
11,4,0,4,0,4,0,0,0
11,1,0,1,1,1,0,1,1
11,1,1,1,0,1,1,0,1
11,2,0,2,0,2,0,0,1
11,1,1,1,0,1,1,0,1
11,2,0,2,0,2,1,1,0
11,2,0,2,0,2,0,0,0
11,4,0,4,0,4,0,0,2
11,2,0,2,0,2,0,0,1
11,1,0,1,0,1,0,0,0
11,1,0,1,0,1,0,1,0
11,4,0,4,0,4,0,0,1
11,2,0,2,1,2,0,0,2
11,1,0,1,0,1,0,0,0
11,2,0,2,0,2,0,0,2
11,4,0,4,0,4,0,0,0
11,1,0,1,0,1,0,0,1
11,1,0,1,0,1,1,0,0
11,1,0,1,0,1,0,0,1
11,2,0,2,0,2,0,0,2
11,1,0,1,0,1,0,0,1
11,2,0,2,0,2,0,0,0
11,2,0,2,1,2,0,0,2
11,4,1,4,0,4,1,0,4
11,2,0,2,0,2,0,0,1
11,1,0,1,0,1,0,0,0
11,2,0,2,0,2,0,0,1
11,2,0,2,0,2,0,0,1
11,1,1,1,0,1,1,0,1
11,1,0,1,0,1,0,0,0
11,2,0,2,0,2,0,1,1
11,1,0,1,0,1,1,0,0
11,2,0,2,0,2,0,0,0
11,1,0,1,1,1,0,1,1
11,2,0,2,0,2,0,0,0
11,1,0,1,2,1,0,0,1
11,2,0,2,1,2,0,1,1
11,2,0,2,0,2,0,0,0
11,2,0,2,0,2,0,0,1
11,2,0,2,0,2,0,0,2
11,2,0,2,0,2,0,0,2
11,1,0,1,0,1,0,0,1
