n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
12,2,0,2,1,2,0,0,1,
12,2,1,2,0,2,1,0,2,
12,4,0,4,0,4,0,0,0,
12,4,0,4,0,4,0,1,0,
12,2,0,2,0,2,0,0,2,
12,6,0,6,0,6,0,0,0,
12,24,0,24,0,24,1,0,4,
12,2,0,2,0,2,0,0,1,
12,3,0,3,1,3,0,1,3,
12,36,0,36,0,36,0,0,0,
12,3,0,3,0,3,0,0,0,
12,3,0,3,0,3,0,0,0,
12,4,0,4,0,4,0,0,0,
12,20,0,20,0,20,0,0,0,
12,2,0,2,1,2,0,1,1,
12,16,0,16,1,16,0,0,4,
12,8,0,8,1,8,0,0,0,
12,4,0,4,1,4,1,0,2,
12,9,0,9,1,9,0,1,1,
12,8,0,8,0,8,1,0,0,
12,10,0,10,0,10,0,0,0,
12,2,0,2,0,2,0,0,2,
12,2,0,2,2,2,0,1,1,
12,9,0,9,0,9,0,0,0,
12,36,0,36,0,36,0,0,0,
12,3,0,3,1,3,0,0,3,
12,6,0,6,1,6,0,0,2,
12,16,0,16,0,16,0,0,0,
12,6,0,6,0,6,0,0,0,
12,2,0,2,0,2,0,0,2,
12,2,0,2,0,2,0,0,0,
12,8,0,8,1,8,1,0,0,
12,8,0,8,0,8,1,0,0,
12,24,0,24,0,24,0,0,0,
12,6,0,6,0,6,0,0,0,
12,8,0,8,0,8,0,0,0,
12,6,1,6,0,6,0,0,2,
12,8,0,8,0,8,0,0,4,
12,4,0,4,0,4,0,0,0,
12,4,0,4,0,4,0,0,1,
12,4,0,4,1,4,0,0,2,
12,4,0,4,0,4,0,0,0,
12,16,0,16,0,16,0,0,0,
12,1,0,1,0,1,1,0,0,
12,4,0,4,1,4,0,0,2,
12,6,0,6,0,6,0,0,0,
12,8,0,8,2,8,0,1,4,
12,1,0,1,1,1,0,1,0,
12,3,0,3,0,3,0,0,0,
12,14,0,14,2,14,0,0,10,
