n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
13,8,0,8,0,8,0,0,0
13,6,0,6,0,6,0,0,1
13,4,0,4,0,4,1,0,2
13,2,0,2,0,2,0,0,0
13,2,0,2,2,2,0,1,1
13,2,0,2,0,2,0,0,0
13,1,0,1,0,1,0,0,0
13,1,0,1,0,1,0,0,1
13,2,0,2,0,2,0,0,0
13,2,0,2,0,2,0,0,1
13,4,0,4,1,4,0,1,1
13,1,0,1,0,1,0,0,0
13,2,0,2,0,2,0,0,0
13,1,0,1,1,1,1,1,0
13,8,0,8,0,8,0,0,4
13,4,0,4,0,4,0,0,1
13,2,0,2,0,2,0,0,0
13,2,1,2,0,2,1,0,1
13,2,0,2,0,2,0,0,1
13,1,0,1,0,1,0,0,0
13,2,0,2,0,2,0,1,0
13,2,0,2,0,2,0,0,0
13,4,0,4,0,4,0,1,1
13,2,0,2,0,2,1,0,0
13,1,1,1,1,1,0,0,1
13,2,0,2,0,2,0,0,1
13,2,0,2,0,2,0,0,0
13,2,0,2,0,2,0,0,1
13,2,0,2,1,2,0,0,1
13,1,0,1,1,1,0,0,0
13,12,0,12,0,12,0,0,4
13,2,0,2,0,2,0,0,2
13,1,0,1,0,1,0,0,0
13,2,0,2,0,2,0,0,2
13,1,0,1,0,1,0,0,1
13,4,0,4,0,4,0,0,2
13,4,0,4,0,4,0,0,1
13,1,0,1,1,1,0,1,1
13,2,0,2,0,2,0,0,1
13,2,0,2,2,2,0,0,1
13,4,0,4,1,4,0,0,2
13,2,0,2,0,2,0,0,1
13,6,0,6,0,6,0,0,4
13,1,0,1,0,1,0,0,0
13,2,0,2,0,2,0,0,0
13,1,0,1,0,1,0,0,1
13,1,0,1,1,1,0,0,1
13,2,0,2,1,2,0,1,1
13,2,0,2,0,2,0,0,0
13,1,0,1,1,1,1,0,0
