n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
12,1,0,1,0,1,0,0,0
12,2,0,2,0,2,0,0,0
12,2,0,2,0,2,0,0,0
12,2,0,2,0,2,0,0,0
12,1,0,1,0,1,0,0,0
12,4,0,4,0,4,0,0,0
12,2,0,2,0,2,0,0,0
12,4,0,4,0,4,0,0,0
12,4,0,4,0,4,0,0,0
12,1,0,1,0,1,0,0,0
12,6,0,6,0,6,0,0,1
12,2,0,2,0,2,0,0,1
12,1,0,1,0,1,0,0,0
12,6,0,6,0,6,0,1,0
12,15,0,15,0,15,0,0,0
12,18,0,18,0,18,0,0,1
12,3,0,3,0,3,0,0,0
12,6,0,6,0,6,0,0,0
12,4,0,4,0,4,0,1,1
12,2,0,2,0,2,0,0,0
12,30,0,30,0,30,0,0,1
12,1,0,1,0,1,0,0,0
12,8,0,8,0,8,0,0,0
12,4,0,4,0,4,0,0,0
12,20,0,20,0,20,0,0,0
12,8,0,8,0,8,0,0,1
12,2,0,2,0,2,0,0,0
12,4,0,4,0,4,0,0,0
12,32,0,32,0,32,1,1,0
12,8,0,8,0,8,0,0,0
12,3,0,3,0,3,0,0,0
12,3,0,3,0,3,0,0,0
12,4,0,4,0,4,0,0,1
12,4,0,4,0,4,0,0,1
12,2,0,2,0,2,0,0,0
12,4,0,4,0,4,0,0,0
12,1,0,1,0,1,0,0,0
12,6,0,6,0,6,0,0,0
12,1,0,1,0,1,0,0,0
12,4,0,4,0,4,0,0,0
12,8,0,8,0,8,1,0,0
12,12,0,12,0,12,0,0,0
12,18,0,18,0,18,0,0,0
12,2,0,2,0,2,1,0,0
12,8,0,8,0,8,1,1,0
12,6,0,6,0,6,0,0,0
12,6,0,6,0,6,0,0,0
12,8,0,8,0,8,0,0,1
12,1,0,1,0,1,0,0,0
12,4,0,4,0,4,0,0,0
